管理都道府県・整備局,管理市区町村,公園名,公園種別,所在地都道府県名,所在地市区町村名,供用開始年,供用済面積（m2）,都市計画決定,備考,lat,lon,type
栃木県,宇都宮市,御幸が原２号児童公園,街区公園,栃木県,宇都宮市,1979,195.0,未決定,,36.5908576,139.92823226,small
栃木県,宇都宮市,みどり台児童公園,街区公園,栃木県,宇都宮市,1979,493.0,未決定,,36.58551421,139.84696009,small
栃木県,宇都宮市,あさひ児童公園,街区公園,栃木県,宇都宮市,1980,485.0,未決定,,36.58050084,139.88378022,small
栃木県,宇都宮市,下荒針１号児童公園,街区公園,栃木県,宇都宮市,1980,176.0,未決定,,36.56621327,139.83955928,small
栃木県,宇都宮市,若杉台児童公園,街区公園,栃木県,宇都宮市,1980,572.0,未決定,,36.59414571,139.91589565,small
栃木県,宇都宮市,しらかば児童公園,街区公園,栃木県,宇都宮市,1980,237.0,未決定,,36.59195816,139.91568454,small
栃木県,宇都宮市,上戸祭４丁目さつき児童公園,街区公園,栃木県,宇都宮市,1980,400.0,未決定,,36.59685811,139.8563368,small
栃木県,宇都宮市,にしき東児童公園,街区公園,栃木県,宇都宮市,1980,531.0,未決定,,36.57353399,139.89693627,small
栃木県,宇都宮市,西田２号児童公園,街区公園,栃木県,宇都宮市,1981,1016.0,未決定,,36.4894737,139.86749759,small
栃木県,宇都宮市,駒生１号児童公園,街区公園,栃木県,宇都宮市,1981,194.0,未決定,,36.57571897,139.85063863,small
栃木県,宇都宮市,東町１号児童公園,街区公園,栃木県,宇都宮市,1981,486.0,未決定,,36.57430089,139.92012789,small
栃木県,宇都宮市,宮原４号児童公園,街区公園,栃木県,宇都宮市,1981,150.0,未決定,,36.54066773,139.87328743,small
栃木県,宇都宮市,東沢２号児童公園,街区公園,栃木県,宇都宮市,1981,536.0,未決定,,36.54477673,139.85773065,small
栃木県,宇都宮市,東沢３号児童公園,街区公園,栃木県,宇都宮市,1981,310.0,未決定,,36.54313468,139.8570899,small
栃木県,宇都宮市,六ノ島児童公園,街区公園,栃木県,宇都宮市,1981,441.0,未決定,,36.55831591,139.8589865,small
栃木県,宇都宮市,下川俣１号児童公園,街区公園,栃木県,宇都宮市,1981,152.0,未決定,,36.59376483,139.91744306,small
栃木県,宇都宮市,桜台２号児童公園,街区公園,栃木県,宇都宮市,1981,252.0,未決定,,36.55181255,139.93422436,small
栃木県,宇都宮市,岩曽１号児童公園,街区公園,栃木県,宇都宮市,1981,600.0,未決定,,36.58072398,139.91518694,small
栃木県,宇都宮市,双葉１号児童公園,街区公園,栃木県,宇都宮市,1981,150.0,未決定,,36.52507198,139.86088022,small
栃木県,宇都宮市,御幸本町１号児童公園,街区公園,栃木県,宇都宮市,1981,150.0,未決定,,36.58248513,139.92318123,small
栃木県,宇都宮市,御幸ヶ原３号児童公園,街区公園,栃木県,宇都宮市,1982,165.0,未決定,,36.59144095,139.92521665,small
栃木県,宇都宮市,雀宮６丁目児童公園,街区公園,栃木県,宇都宮市,1982,160.0,未決定,,36.49048123,139.86918529,small
栃木県,宇都宮市,若松原１号児童公園,街区公園,栃木県,宇都宮市,1982,165.0,未決定,,36.50074475,139.86604399,small
栃木県,宇都宮市,兵庫塚１号児童公園,街区公園,栃木県,宇都宮市,1982,150.0,未決定,,36.50404015,139.85654638,small
栃木県,宇都宮市,針ケ谷１号児童公園,街区公園,栃木県,宇都宮市,1982,899.0,未決定,,36.49658191,139.85337826,small
栃木県,宇都宮市,双葉２号児童公園,街区公園,栃木県,宇都宮市,1982,223.0,未決定,,36.5269551,139.85746326,small
栃木県,宇都宮市,西川田４号児童公園,街区公園,栃木県,宇都宮市,1982,164.0,未決定,,36.52815066,139.85124707,small
栃木県,宇都宮市,西川田５号児童公園,街区公園,栃木県,宇都宮市,1982,150.0,未決定,,36.52802382,139.85294199,small
栃木県,宇都宮市,駒生２号児童公園,街区公園,栃木県,宇都宮市,1982,289.0,未決定,,36.57112999,139.85609358,small
栃木県,宇都宮市,西谷児童公園,街区公園,栃木県,宇都宮市,1983,176.0,未決定,,36.56847841,139.92275603,small
栃木県,宇都宮市,緑２号児童公園,街区公園,栃木県,宇都宮市,1983,161.0,未決定,,36.52255831,139.85577401,small
栃木県,宇都宮市,簗瀬１号児童公園,街区公園,栃木県,宇都宮市,1983,156.0,未決定,,36.54567749,139.88872201,small
栃木県,宇都宮市,宮原５号児童公園,街区公園,栃木県,宇都宮市,1983,206.0,未決定,,36.54103376,139.8739099,small
栃木県,宇都宮市,宝木１号児童公園,街区公園,栃木県,宇都宮市,1983,150.0,未決定,,36.59314394,139.84477233,small
栃木県,宇都宮市,下栗１号児童公園,街区公園,栃木県,宇都宮市,1983,674.0,未決定,,36.52977341,139.91311145,small
栃木県,宇都宮市,御幸ヶ原６号児童公園,街区公園,栃木県,宇都宮市,1983,168.0,未決定,,36.5946677,139.93125383,small
栃木県,宇都宮市,鶴田１号児童公園,街区公園,栃木県,宇都宮市,1983,180.0,未決定,,36.57112686,139.83993958,small
栃木県,宇都宮市,鶴田２号児童公園,街区公園,栃木県,宇都宮市,1983,150.0,未決定,,36.55593942,139.85889209,small
栃木県,宇都宮市,平松本町１号児童公園,街区公園,栃木県,宇都宮市,1983,243.0,未決定,,36.53622224,139.91763977,small
