,station_g_cd,line,pref,mun,post,address,lat,lon,line_num,crime_rate,census_0~6age_rate,census_6~18age_rate,city_park_small,city_park_middle,city_park_large,med_hospital,med_clinic_all,med_clinic_pediatrics,school_primary,school_junior_high,education_nursery,shopping_supermarket,shopping_shopping_mall,shopping_convenience_store,shopping_baby_goods_store,restaurant_num,time_tokyo,transfer_tokyo,time_shinagawa,transfer_shinagawa,time_shinjuku,transfer_shinjuku,time_shibuya,transfer_shibuya,time_ikebukuro,transfer_ikebukuro,time_average,transfer_average
大崎広小路,2600502,['東急池上線'],東京都,品川区,141-0032,大崎４-１-１,35.622244,139.722339,1,5.296558141939486,0.06970922952803585,0.0651348788431759,14,0,0,2,108,16,6,6,12,7,4,8,1,1145,24,1,11,1,21,1,14,1,30,1,20.0,1.0
大川,1130409,['JR鶴見線'],神奈川県,川崎市川崎区,210-0858,大川町,35.495646,139.711038,1,8.926572894376347,0.0,0.05,1,0,0,0,4,0,0,0,0,0,0,0,0,2,46,1,35,1,66,2,51,2,75,2,54.6,1.6
大師前,2100602,['東武大師線'],東京都,足立区,123-0841,西新井１-３-１,35.778989,139.781647,1,5.510936814490496,0.07420429154613643,0.10484011486172917,25,0,0,8,39,17,5,2,4,4,3,2,2,389,41,2,48,2,56,2,42,1,62,2,49.8,1.8
大師橋,2700306,['京急大師線'],神奈川県,川崎市川崎区,210-0811,大師河原２-４-２５,35.536611,139.740381,1,8.926572894376347,0.08413898190891186,0.1041157117063118,16,0,0,1,16,7,3,2,8,4,0,3,1,127,39,2,20,1,51,2,47,2,65,2,44.4,1.8
大手町(東京都),2800208,['東京メトロ丸ノ内線'],東京都,千代田区,100-0004,大手町１丁目,35.686564,139.7662,1,32.66787658802178,0.04439409979475962,0.039189767561238,6,0,0,1,213,8,3,0,6,4,11,14,3,3654,1,0,12,1,16,0,12,0,11,0,10.4,0.2
大森(東京都),1133229,['JR京浜東北線'],東京都,大田区,143-0016,大森北１丁目,35.588903,139.728079,1,5.695304023807598,0.07009867316645603,0.0839477808699977,38,1,0,4,70,16,4,2,4,7,1,2,0,744,16,0,5,0,36,1,16,1,52,1,25.0,0.6
大森台,2300503,['京成千原線'],千葉県,千葉市中央区,260-0811,大森町４６３-３,35.584126,140.149398,1,9.58209391914956,0.07920516568930952,0.13501840883421198,20,0,0,0,9,4,2,1,1,1,0,2,0,39,75,1,82,1,88,1,95,1,79,1,83.8,1.0
大森海岸,2700108,['京急本線'],東京都,品川区,140-0013,南大井３-３２-１,35.587576,139.73544,1,5.296558141939486,0.05571726818994239,0.06854923507783801,21,2,0,3,59,13,4,2,5,6,1,2,0,771,18,1,7,0,32,1,25,1,41,1,24.6,0.8
大森町,2700110,['京急本線'],東京都,大田区,143-0015,大森西３-２４-７,35.572431,139.732027,1,5.695304023807598,0.057501623766957916,0.06799777089631226,50,0,0,3,53,20,7,3,8,5,1,1,0,339,21,1,9,0,35,1,28,1,44,1,27.4,0.8
大泉学園,2200111,['西武池袋線'],東京都,練馬区,178-0063,東大泉１-２９-７,35.749406,139.586732,1,4.674930236295969,0.0787755761568922,0.12110100499212897,14,0,0,3,57,12,4,3,4,3,1,1,0,309,30,1,47,1,23,1,26,0,13,0,27.8,0.6
大町(千葉県),9934008,['北総鉄道北総線'],千葉県,市川市,272-0801,大町１７５,35.775103,139.973567,1,5.31000639359644,0.06942346146225048,0.13392716726816567,6,0,0,0,3,0,0,0,1,0,0,1,0,32,40,1,42,0,40,1,49,1,68,1,47.8,0.8
大磯,1130112,['JR東海道本線(東京～熱海)'],神奈川県,大磯町,255-0004,磯町東小磯,35.311299,139.313388,1,2.59904912836767,0.0682853559937853,0.12168476306907713,11,0,0,0,14,5,2,2,3,0,0,0,0,67,54,0,47,0,60,0,56,0,66,0,56.6,0.0
大神宮下,2300123,['京成本線'],千葉県,船橋市,273-0003,宮本２-９-９,35.693945,139.991431,1,5.626996740997608,0.06691246232655654,0.09335702178736244,10,0,0,2,41,8,5,1,4,5,1,4,2,743,48,1,55,1,61,1,68,1,52,1,56.8,1.0
大網,1132407,"['JR東金線', 'JR外房線']",千葉県,大網白里市,299-3244,南玉21-7,35.522427,140.311111,2,3.3140858815875083,0.07862191623634615,0.13608534128141941,5,0,0,0,17,5,0,0,5,2,0,1,1,58,57,0,65,0,67,1,76,1,74,1,67.8,0.6
大船,1130107,"['JR成田エクスプレス', 'JR湘南新宿ライン', 'JR東海道本線(東京～熱海)', 'JR根岸線', 'JR横須賀線', '湘南モノレール']",神奈川県,鎌倉市,247-0056,大船１丁目,35.353466,139.531127,6,3.121044509562533,0.08552870949954902,0.11365190051962919,27,0,0,1,60,4,3,1,14,6,1,2,0,511,35,0,29,0,40,0,35,0,45,0,36.8,0.0
大袋,2100223,['東武伊勢崎線'],埼玉県,越谷市,343-0032,大字袋山,35.92437,139.777868,1,7.472636874885184,0.0963321131085849,0.15396077726159693,2,0,0,1,17,8,4,1,5,5,0,3,0,128,46,1,53,1,61,1,52,0,67,1,55.8,0.8
大門(東京都),9930121,['都営大江戸線'],東京都,港区,105-0013,浜松町１-２７-１２,35.656785,139.75466,1,9.902048231894542,0.057702027372915465,0.04778720658753329,8,1,0,1,108,4,2,3,6,2,0,1,0,1737,8,1,5,0,12,0,14,1,35,1,14.8,0.6
大雄山,9931412,['伊豆箱根鉄道大雄山線'],神奈川県,南足柄市,250-0105,関本５９２-１,35.319046,139.10365,1,2.032050986006558,0.0702055284818963,0.1418750979250661,5,0,0,0,10,4,2,2,4,0,0,1,0,43,90,1,81,1,94,1,89,1,99,1,90.6,1.0
大鳥居,2700203,['京急空港線'],東京都,大田区,144-0034,西糀谷３-３７-１８,35.552531,139.739356,1,5.695304023807598,0.06537620028718072,0.09105363330415688,47,1,0,5,35,16,6,2,3,4,0,1,0,283,25,1,10,0,38,1,33,1,52,1,31.6,0.8
大麻生,9930612,['秩父鉄道秩父本線'],埼玉県,熊谷市,360-0835,大字大麻生,36.144612,139.331859,1,6.007788992764489,0.08924833549977719,0.16324765200197722,0,0,0,0,0,0,1,0,0,0,0,0,0,7,70,1,79,1,71,1,76,1,66,1,72.4,1.0
天台,9933204,['千葉都市モノレール２号線'],千葉県,千葉市稲毛区,263-0016,天台１-１０９５-２,35.631447,140.112902,1,7.057303314944585,0.05928379139918614,0.10302201953191649,23,0,0,1,16,6,4,3,8,4,0,5,1,86,47,1,54,1,82,1,76,2,69,2,65.6,1.4
天王台,1132018,['JR常磐線(上野～取手)'],千葉県,我孫子市,270-1176,柴崎台１,35.872558,140.04121,1,4.483078279105816,0.09382709113271237,0.123708896456377,34,0,0,1,15,3,1,1,8,4,0,0,0,104,35,0,42,0,75,1,52,1,79,1,56.6,0.6
天王洲アイル,9933602,"['東京モノレール', 'りんかい線']",東京都,品川区,140-0002,東品川２-５-１９,35.622908,139.750675,2,5.296558141939486,0.07710356531912305,0.06649883775886606,15,0,0,2,46,7,3,1,4,1,2,2,0,353,13,1,14,1,17,0,12,0,23,0,15.8,0.4
天王町,2900104,['相鉄本線'],神奈川県,横浜市保土ヶ谷区,240-0003,天王町２-４５-５,35.453984,139.602554,1,3.1728574695975045,0.06367164171524835,0.09134898319164103,28,0,0,0,64,13,4,1,15,5,0,5,1,387,32,1,25,1,37,1,32,1,42,1,33.6,1.0
天空橋,2700205,"['東京モノレール', '京急空港線']",東京都,大田区,144-0041,羽田空港１-１-２,35.548908,139.75423,2,5.695304023807598,0.041620486052124754,0.06711879181308608,18,0,0,1,8,1,1,1,0,1,0,0,0,99,23,1,12,0,32,1,27,1,38,1,26.4,0.8
奥沢,2600207,['東急目黒線'],東京都,世田谷区,158-0083,奥沢３-４７-１７,35.603947,139.672355,1,4.683698162165991,0.05337812534374201,0.08333775298858778,11,0,0,3,91,23,4,6,7,4,1,1,1,828,23,1,19,1,29,1,26,1,35,1,26.4,1.0
女子大,9931304,['ユーカリが丘線'],千葉県,佐倉市,285-0858,ユーカリが丘５-１-１,35.738357,140.155054,1,4.700733476516595,0.10666816295715068,0.14641046746627917,12,0,0,0,6,4,2,1,3,1,0,0,0,14,73,2,70,1,76,2,86,2,77,2,76.4,1.8
妙典,2800421,['東京メトロ東西線'],千葉県,市川市,272-0115,富浜１-２-１０,35.690935,139.924209,1,5.31000639359644,0.09371069412882932,0.10634286689648134,32,1,0,0,25,8,3,2,7,9,1,5,0,127,24,1,31,1,38,1,34,1,39,1,33.2,1.0
妙蓮寺,2600117,['東急東横線'],神奈川県,横浜市港北区,222-0011,菊名１-１-１,35.498779,139.633194,1,3.1989819043966388,0.0728900028249547,0.10103478397132384,32,0,0,1,19,3,4,2,4,2,1,2,1,74,56,1,24,1,36,1,25,0,39,0,36.0,0.6
姉ヶ崎,1132507,['JR内房線'],千葉県,市原市,299-0111,姉崎528-2,35.4786,140.041749,1,5.923773738785972,0.12044434428557042,0.10290265950477391,4,0,0,0,18,5,2,0,2,2,0,2,0,114,55,0,63,0,65,1,82,1,72,1,67.4,0.6
姫宮,2100229,['東武伊勢崎線'],埼玉県,宮代町,345-0804,郡宮代町川端１丁目,36.004384,139.738674,1,5.637145824061712,0.07587988481490529,0.12632970685916145,0,0,0,0,1,1,0,0,1,0,0,1,0,16,58,1,65,1,73,1,64,0,79,1,67.8,0.8
子安,2700122,['京急本線'],神奈川県,横浜市神奈川区,221-0021,子安通１-４６,35.484556,139.644965,1,3.230585104157077,0.0821142457802221,0.10984154137055237,24,0,0,4,29,9,2,2,7,5,0,6,0,225,34,1,23,0,48,1,41,1,57,1,40.6,0.8
学園前(千葉県),2300504,['京成千原線'],千葉県,千葉市緑区,266-0032,おゆみ野中央１-１４-２,35.560364,140.158416,1,3.634270938446014,0.12735289174675202,0.24079342197085477,10,1,0,0,11,2,3,1,3,0,0,1,1,29,78,1,85,1,91,1,98,1,82,1,86.8,1.0
学習院下,9930528,['都電荒川線'],東京都,豊島区,171-0033,高田２,35.716248,139.71247,1,10.96621526477932,0.054266965936036964,0.0716413945275923,19,0,0,2,83,18,6,5,5,3,0,5,0,992,33,1,43,1,19,1,15,1,10,1,24.0,1.0
学芸大学,2600105,['東急東横線'],東京都,目黒区,152-0004,鷹番３-２-１,35.628786,139.68522,1,5.201316898516688,0.06693646789251347,0.0817066759612364,8,0,0,1,72,19,4,2,7,3,0,4,0,559,33,1,20,1,16,1,5,0,16,0,18.0,0.6
宇都宮,1131923,"['JR日光線', '宇都宮線']",栃木県,宇都宮市,321-0965,川向町,36.559246,139.898389,2,6.704666849211522,0.0622229125934471,0.07322895305025322,15,0,0,4,48,9,3,1,9,4,2,12,0,573,94,0,100,0,90,0,95,0,85,0,92.8,0.0
守谷,9930915,"['つくばエクスプレス', '関東鉄道常総線']",茨城県,守谷市,302-0115,守谷甲２２１５-２,35.950626,139.992209,2,6.19276326965546,0.14210339397482152,0.16399359129461832,3,0,0,0,14,4,3,1,9,4,3,4,1,138,39,1,50,1,53,1,65,1,56,1,52.6,1.0
安善,1130408,['JR鶴見線'],神奈川県,横浜市鶴見区,230-0035,安善町１丁目,35.499668,139.700663,1,3.627048318591514,0.05606315499737353,0.09541591582713443,9,0,0,1,5,1,2,1,3,4,0,2,0,60,42,1,31,1,62,2,47,2,71,2,50.6,1.6
宗吾参道,2300138,['京成本線'],千葉県,酒々井町,285-0907,々井町下岩橋字仲田４３２-３,35.752669,140.280975,1,6.203769983297542,0.09329979758506837,0.12733495058213282,4,0,0,0,1,1,0,1,0,0,0,1,0,11,74,1,77,0,79,1,85,1,78,1,78.6,0.8
宝町(東京都),2800110,['都営浅草線'],東京都,中央区,104-0031,京橋２-１３-１１,35.675461,139.771767,1,12.52275415595362,0.04528905952780317,0.040177057382555344,12,0,0,0,309,9,7,0,12,5,13,12,4,5023,9,1,9,0,17,1,13,0,28,1,15.2,0.6
実籾,2300128,['京成本線'],千葉県,習志野市,275-0002,実籾町１-１-１,35.686852,140.068289,1,6.170008754742152,0.08513932845785073,0.1484910774859996,30,0,0,1,16,3,3,2,6,2,0,1,0,84,48,1,51,0,52,1,60,1,52,1,52.6,0.8
宮の坂,2600707,['東急世田谷線'],東京都,世田谷区,156-0051,宮坂１-２４-７,35.647508,139.64494,1,4.683698162165991,0.06410915636709774,0.07458472023260292,17,0,0,1,73,18,5,3,7,3,1,1,0,520,41,2,41,2,19,1,18,1,34,2,30.6,1.6
宮ノ前,9930510,['都電荒川線'],東京都,荒川区,116-0012,東尾久５,35.750135,139.764955,1,5.851204160856292,0.0711375186176269,0.09112635147582424,7,1,0,2,33,12,4,3,10,4,0,4,0,277,31,1,41,1,33,1,33,1,24,1,32.4,1.0
宮前平,2600313,['東急田園都市線'],神奈川県,川崎市宮前区,216-0000,宮前１-１１-１,35.584951,139.581983,1,2.1809090667304982,0.08880069846920849,0.13812523673849053,34,0,0,1,42,13,4,1,17,4,0,3,0,107,39,1,48,1,30,1,21,0,36,1,34.8,0.8
