,station_g_cd,line,pref,mun,post,address,lat,lon,line_num,crime_rate,census_0~6age_rate,census_6~18age_rate,city_park_small,city_park_middle,city_park_large,med_hospital,med_clinic_all,med_clinic_pediatrics,school_primary,school_junior_high,education_nursery,shopping_supermarket,shopping_shopping_mall,shopping_convenience_store,shopping_baby_goods_store,restaurant_num,time_tokyo,transfer_tokyo,time_shinagawa,transfer_shinagawa,time_shinjuku,transfer_shinjuku,time_shibuya,transfer_shibuya,time_ikebukuro,transfer_ikebukuro,time_average,transfer_average
早稲田(都電荒川線),9930530,['都電荒川線'],東京都,新宿区,169-0051,西早稲田一丁目,35.711848,139.718928,1,14.20733900947356,0.050111884063053926,0.06949845343251798,21,1,0,1,47,13,6,6,5,1,0,4,0,563,36,1,46,1,22,1,18,1,13,1,27.0,1.0
明大前,2400106,"['京王線', '京王井の頭線']",東京都,世田谷区,156-0043,松原２-４５-１,35.668758,139.650352,2,4.683698162165991,0.04429886226854641,0.061792315204164595,8,0,0,0,49,14,4,2,5,1,1,3,0,368,21,1,26,1,5,0,8,0,15,1,15.0,0.6
明戸,9930613,['秩父鉄道秩父本線'],埼玉県,深谷市,369-1102,瀬山字中里前,36.142958,139.303306,1,5.7019282252400725,0.05137931034482755,0.1579310344827586,0,0,0,0,1,0,0,0,0,0,0,0,0,4,73,1,82,1,74,1,79,1,69,1,75.4,1.0
明治神宮前,1130206,"['東京メトロ副都心線', '東京メトロ千代田線']",東京都,渋谷区,150-0001,神宮前１丁目,35.669071,139.703995,2,15.458752165605947,0.07065328518612199,0.08463979586588198,4,0,0,2,128,8,3,2,6,4,9,6,1,1693,16,1,15,0,5,0,1,0,9,0,9.2,0.2
星川(神奈川県),2900105,['相鉄本線'],神奈川県,横浜市保土ヶ谷区,240-0006,星川１-１-１,35.458634,139.594816,1,3.1728574695975045,0.05866812913791281,0.0932812442323677,22,0,0,0,43,10,6,1,11,3,0,3,0,303,31,1,24,1,36,1,31,1,41,1,32.6,1.0
春日(東京都),9930108,['都営大江戸線'],東京都,文京区,112-0003,春日１-１６-１７,35.709598,139.75325,1,4.1506617392729055,0.06806790894107867,0.07443128843379034,4,2,0,2,81,6,6,6,11,4,3,4,0,991,10,1,17,1,33,0,35,1,12,1,21.4,0.8
春日部,2100227,"['東武伊勢崎線', '東武野田線']",埼玉県,春日部市,344-0061,粕壁１丁目,35.980095,139.752345,2,7.0474283332402266,0.07496605997147664,0.11629275623772169,19,0,0,2,40,8,2,1,7,8,1,4,2,311,49,1,57,1,46,1,51,1,41,1,48.8,1.0
昭和,1130412,['JR鶴見線'],神奈川県,川崎市川崎区,210-0867,扇町,35.506836,139.723897,1,8.926572894376347,0.031162406099338468,0.0489895167619688,3,0,0,0,2,0,0,0,0,0,0,1,0,5,49,1,38,1,69,2,54,2,78,2,57.6,1.6
昭和島,9933605,['東京モノレール'],東京都,大田区,143-0004,昭和島２-２-１,35.570656,139.749918,1,5.695304023807598,0.08686139861033725,0.08701287202823683,10,0,0,1,2,1,2,1,2,0,0,2,0,20,20,1,22,1,29,1,24,1,35,1,26.0,1.0
昭島,1131505,['JR青梅線'],東京都,昭島市,196-0015,昭和町２丁目,35.713305,139.361564,1,5.603421224863053,0.08478733533774721,0.10443228488787797,7,0,0,2,23,7,4,2,13,2,2,0,0,186,49,0,60,1,34,0,43,1,44,1,46.0,0.6
是政,2201206,['西武多摩川線'],東京都,府中市,183-0014,是政５-８-２,35.656242,139.488592,1,4.291631127196723,0.10953013578310679,0.15909070154548732,13,1,0,1,5,3,1,0,5,0,0,1,0,76,50,1,66,2,36,1,50,2,51,2,50.6,1.6
曙橋,9930403,['都営新宿線'],東京都,新宿区,162-0065,住吉町７-１,35.692402,139.722881,1,14.20733900947356,0.06187385609618113,0.07789586168309393,29,0,0,3,105,25,7,4,4,6,2,10,0,1226,12,1,23,1,2,0,11,1,12,1,12.0,0.8
曳舟,2100204,"['東武伊勢崎線', '東武亀戸線']",東京都,墨田区,131-0032,東向島２丁目,35.718418,139.816634,2,7.398331473344935,0.07107064851550078,0.08829910352907173,34,0,0,3,59,15,7,4,11,8,0,2,0,664,19,1,26,1,34,1,25,0,40,1,28.8,0.8
月島,2800621,"['都営大江戸線', '東京メトロ有楽町線']",東京都,中央区,104-0052,月島一丁目3-9,35.664871,139.784233,2,12.52275415595362,0.10255523700810339,0.08145648346129097,18,0,0,2,63,19,6,2,22,2,1,4,0,651,10,1,16,1,19,0,21,1,16,0,16.4,0.6
有明(東京都),9931112,['ゆりかもめ'],東京都,江東区,135-0063,有明２-５,35.634596,139.793269,1,5.627282381968605,0.1128318584070796,0.05063913470993115,0,0,0,1,7,2,1,2,1,0,2,5,0,173,31,1,33,1,42,1,39,1,30,1,35.0,1.0
有明テニスの森,9931113,['ゆりかもめ'],東京都,江東区,135-0063,有明１丁目,35.639964,139.78888,1,5.627282381968605,0.2450003171884416,0.10753877628699204,2,0,0,1,5,1,2,2,1,0,1,5,0,201,34,1,36,1,44,1,42,1,29,1,37.0,1.0
有楽町,1130225,"['東京メトロ有楽町線', 'JR京浜東北線', 'JR山手線']",東京都,千代田区,100-0006,有楽町二丁目9,35.675441,139.763806,3,32.66787658802178,0.02838318957851996,0.044282899177641666,4,1,0,0,330,8,2,0,10,5,18,9,3,5791,2,0,11,0,21,1,24,0,13,0,14.2,0.2
朝霞,2100112,['東武東上線'],埼玉県,朝霞市,351-0011,本町２-１３-５２,35.796736,139.600321,1,4.490128320824071,0.10599092991287257,0.11546387164570227,10,0,0,0,29,9,3,1,23,6,0,2,1,174,31,1,48,1,24,1,26,0,14,0,28.6,0.6
朝霞台,1130508,['東武東上線'],埼玉県,朝霞市,351-0022,東弁財１-４-１７,35.814328,139.587189,1,4.490128320824071,0.09628328787252145,0.11843112958260378,8,0,0,3,29,7,2,2,17,5,0,3,0,207,31,1,48,1,24,1,27,0,14,0,28.8,0.6
木場,2800413,['東京メトロ東西線'],東京都,江東区,135-0042,木場５-５-１,35.669351,139.807042,1,5.627282381968605,0.07842617087265141,0.08703294773301551,20,1,0,2,69,17,4,3,5,2,1,3,0,756,11,1,18,1,24,1,21,1,25,1,19.8,1.0
木更津,1132511,"['JR久留里線', 'JR内房線']",千葉県,木更津市,292-0831,富士見１丁目,35.381668,139.92611,2,5.531492981265981,0.06498776547485009,0.09870651789917063,9,0,0,4,23,7,2,1,9,1,0,6,0,254,71,0,78,0,81,1,96,1,88,1,82.8,0.6
末広町(東京都),2800106,['東京メトロ銀座線'],東京都,千代田区,101-0021,外神田４-７-３,35.702972,139.771713,1,32.66787658802178,0.04409349893482596,0.049065416645786335,15,0,0,13,149,14,5,1,15,3,2,6,1,3424,14,1,16,1,26,1,17,0,32,1,21.0,0.8
本八幡,1131328,"['都営新宿線', 'JR中央・総武線']",千葉県,市川市,272-0021,八幡２丁目,35.720898,139.92741,2,5.31000639359644,0.06613460896751476,0.08409520324948072,22,0,0,1,71,16,3,0,8,8,2,4,1,503,29,1,31,1,25,0,34,1,35,1,30.8,0.8
本千葉,1132402,"['JR外房線', 'JR内房線']",千葉県,千葉市中央区,260-0854,長洲町１丁目,35.601202,140.120987,2,9.58209391914956,0.07207659377243686,0.09201951146867061,25,0,0,1,47,5,2,3,13,5,1,11,0,500,39,0,46,0,49,1,64,1,56,1,50.8,0.6
本厚木,2500134,['小田急線'],神奈川県,厚木市,243-0013,泉町１丁目,35.439338,139.364261,1,4.576588071630471,0.06986366745557192,0.10112624449979847,8,0,0,2,64,7,2,1,11,4,3,5,1,581,62,1,68,1,43,0,52,1,53,1,55.6,0.8
本川越,2200729,['西武新宿線'],埼玉県,川越市,350-0043,新富町１-２２,35.913524,139.481125,1,5.690743987797402,0.05976337478401593,0.09168618754695403,3,0,0,5,52,8,2,2,3,6,3,4,1,846,85,1,79,1,59,1,66,1,60,1,69.8,1.0
本庄,1132320,['JR高崎線'],埼玉県,本庄市,367-0052,銀座３丁目,36.236229,139.188299,1,6.086208446219231,0.0625745766102087,0.10881279861973008,10,0,0,2,23,10,1,0,5,1,0,3,0,186,74,0,83,0,74,0,79,0,69,0,75.8,0.0
本所吾妻橋,9930219,['都営浅草線'],東京都,墨田区,130-0001,吾妻橋３-７-１６,35.70858,139.804624,1,7.398331473344935,0.06367456471072462,0.07074000571228943,18,1,0,3,54,16,5,3,10,3,3,4,0,1386,17,1,17,0,18,1,25,1,44,1,24.2,0.8
本納,1132409,['JR外房線'],千葉県,茂原市,299-4114,本納,35.48227,140.30758,1,5.597181339755598,0.04149526468728455,0.12311990678574215,0,0,0,1,4,3,1,1,0,1,0,1,0,19,65,0,76,1,84,1,80,1,82,1,77.4,0.8
本郷三丁目,2800205,"['東京メトロ丸ノ内線', '都営大江戸線']",東京都,文京区,113-0033,本郷２-３９-１,35.706671,139.759914,2,4.1506617392729055,0.06092058101501461,0.06070876364922598,11,2,0,11,107,10,2,3,13,0,3,6,0,1450,4,0,15,1,19,0,28,1,8,0,14.8,0.4
本駒込,2800907,['東京メトロ南北線'],東京都,文京区,113-0023,向丘２-３７-１,35.724155,139.753828,1,4.1506617392729055,0.06933631627745973,0.08805675994662114,11,0,0,2,67,17,8,9,17,1,0,1,0,512,13,1,31,1,14,1,18,1,12,1,17.6,1.0
杉戸高野台,2100302,['東武日光線'],埼玉県,杉戸町,345-0047,郡杉戸町高野台東１丁目,36.051536,139.714582,1,4.835696230354984,0.08891835269434963,0.1391939821536103,6,0,0,1,10,5,2,0,3,2,0,1,1,42,57,1,64,1,72,1,63,0,78,1,66.8,0.8
杉田(神奈川県),2700135,['京急本線'],神奈川県,横浜市磯子区,235-0033,杉田２-１-９,35.383796,139.615734,1,3.254546438948679,0.07630792720262967,0.1176466490409978,21,0,0,0,30,5,3,1,9,2,1,3,0,233,55,1,43,0,69,1,62,1,78,1,61.4,0.8
村上(千葉県),9933808,['東葉高速線'],千葉県,八千代市,276-0028,村上字辺田前４０８９-２,35.72371,140.118375,1,5.275637839628893,0.12047522726630437,0.1596072303594004,18,1,0,0,18,5,2,2,2,2,1,1,0,74,43,1,50,1,57,1,53,1,58,1,52.2,1.0
東あずま,2100503,['東武亀戸線'],東京都,墨田区,131-0043,立花４-２３-８,35.707067,139.831883,1,7.398331473344935,0.07034318833492081,0.09649962427057868,30,1,0,1,40,14,7,5,12,4,0,2,0,356,32,2,37,2,34,1,33,1,49,2,37.0,1.6
東中山,2300119,['京成本線'],千葉県,船橋市,273-0036,東中山２-２-２２,35.714385,139.952683,1,5.626996740997608,0.08090191081292616,0.11249403074426585,19,0,0,2,41,6,2,1,2,4,0,6,0,316,33,1,35,0,37,1,43,1,37,1,37.0,0.8
東中神,1131503,['JR青梅線'],東京都,昭島市,196-0034,玉川町１丁目,35.706337,139.384529,1,5.603421224863053,0.08365610602105113,0.1076065876252105,4,1,0,2,21,3,3,1,13,1,0,1,0,158,45,0,56,1,30,0,39,1,40,1,42.0,0.6
東中野,1131308,"['JR中央・総武線', '都営大江戸線']",東京都,中野区,164-0003,東中野４丁目,35.706529,139.684436,2,6.270280151729812,0.045370023924063044,0.04910373494387725,33,0,0,0,81,21,9,5,12,3,1,6,0,421,28,1,29,1,4,0,15,1,14,1,18.0,0.8
東久留米,2200114,['西武池袋線'],東京都,東久留米市,203-0014,東本町１-８,35.760445,139.533739,1,4.775704780849167,0.08324832203708657,0.11949772237487724,23,0,0,1,30,10,3,2,15,1,1,1,1,157,35,1,52,1,28,1,30,0,18,0,32.6,0.6
東京,1130101,"['JR成田エクスプレス', '東京メトロ丸ノ内線', 'JR京浜東北線', 'JR東海道本線(東京～熱海)', 'JR山手線', 'JR横須賀線', 'JR中央本線(東京～塩尻)', 'JR中央線(快速)', '上野東京ライン', 'JR総武本線', 'JR京葉線']",東京都,千代田区,100-0005,丸の内一丁目,35.681391,139.766103,11,32.66787658802178,0.030861896172296423,0.03950542976350578,6,0,0,1,267,8,3,0,4,4,17,10,3,4240,0,0,6,0,14,0,17,1,12,0,9.8,0.2
東京テレポート,9933704,['りんかい線'],東京都,江東区,135-0064,青海１-２,35.62753,139.778896,1,5.627282381968605,0.147126017630803,0.11481510612005918,2,1,0,0,11,1,1,1,0,1,4,3,5,280,19,1,17,1,20,0,15,0,26,0,19.4,0.4
東京ビッグサイト,9931111,['ゆりかもめ'],東京都,江東区,135-0063,有明三丁目6-15,35.630158,139.791228,1,5.627282381968605,0.0,0.0,0,0,0,1,6,2,0,0,0,0,2,6,0,177,30,1,32,1,41,1,38,1,32,1,34.6,1.0
東京国際クルーズターミナル,9931108,['ゆりかもめ'],東京都,江東区,135-0064,青海1丁目1-49,35.621462,139.773157,1,5.627282381968605,0.1504762604887577,0.0860524464141313,0,1,0,0,11,0,0,0,0,0,4,3,5,286,24,1,26,1,35,1,32,1,38,1,31.0,1.0
東伏見,2200715,['西武新宿線'],東京都,西東京市,202-0021,東伏見２-５-１,35.728761,139.563529,1,5.134691918484891,0.07178807008912791,0.10641415878484897,12,0,0,0,22,8,3,2,10,4,0,1,0,138,51,1,45,1,25,1,32,1,26,1,35.8,1.0
東北沢,2500106,['小田急線'],東京都,世田谷区,155-0031,北沢３丁目,35.665379,139.673014,1,4.683698162165991,0.05457026958743327,0.06957772098593894,18,0,0,1,61,11,4,4,1,4,0,0,0,992,22,1,24,1,7,0,10,1,17,1,16.0,0.8
東十条,1133211,['JR京浜東北線'],東京都,北区,114-0001,東十条３丁目,35.763803,139.726858,1,6.444311531740726,0.07136486313018961,0.07499595012277342,9,0,0,4,55,18,10,3,12,2,0,3,0,532,20,0,30,0,34,1,47,1,15,1,29.2,0.6
東大前,2800908,['東京メトロ南北線'],東京都,文京区,113-0023,向丘１-１９-２,35.717633,139.758025,1,4.1506617392729055,0.060791230753857416,0.0721446975526838,3,0,0,3,88,15,8,5,17,4,0,3,0,728,12,1,30,1,13,1,17,1,13,1,17.0,1.0
東大和市,2200804,['西武拝島線'],東京都,東大和市,207-0022,桜が丘１-１４１５-１,35.732829,139.434249,1,5.249128081073781,0.0765334900508228,0.11751602681201073,20,0,0,2,26,5,4,1,11,2,0,1,0,159,67,1,61,1,41,1,48,1,42,1,51.8,1.0
東大宮,1131908,['宇都宮線'],埼玉県,さいたま市見沼区,337-0051,東大宮４丁目,35.948751,139.640291,1,5.266732526549765,0.06541557867847558,0.10490205573469943,18,0,0,1,23,4,1,1,11,4,0,2,0,162,32,0,38,0,33,0,38,0,28,0,33.8,0.0
東大島,9930416,['都営新宿線'],東京都,江東区,136-0072,大島９-３-１４,35.690355,139.845963,1,5.627282381968605,0.08525729416097785,0.13816382272190916,12,2,0,2,33,14,5,3,4,4,0,2,1,110,18,1,24,1,20,0,29,1,30,1,24.2,0.8
東宮原,9932104,['ニューシャトル'],埼玉県,さいたま市北区,331-0812,宮原町２-１０９-７,35.94262,139.618054,1,5.597925351700291,0.11679623346125706,0.15210875180261066,21,0,0,0,28,6,2,0,12,5,0,6,1,173,38,1,44,1,39,1,44,1,34,1,39.8,1.0
東小金井,1131222,['JR中央線(快速)'],東京都,小金井市,184-0002,梶野町５丁目,35.701643,139.524837,1,4.967214735246631,0.07327159252448293,0.1014474056327141,4,0,0,0,28,7,2,3,15,2,0,2,1,185,36,0,47,1,22,0,31,1,32,1,33.6,0.6
東尾久三丁目,9930508,['都電荒川線'],東京都,荒川区,116-0012,東尾久３,35.745398,139.774386,1,5.851204160856292,0.0691472905973574,0.08458552963067685,9,1,0,4,65,20,7,4,12,4,1,1,0,515,34,1,44,1,36,1,36,1,27,1,35.4,1.0
東山北,1150506,['JR御殿場線'],神奈川県,山北町,258-0111,郡山北町向原,35.357637,139.10765,1,1.5852293920179037,0.0,0.0,1,0,0,1,1,1,0,0,1,0,0,0,0,3,82,1,73,1,85,1,80,1,90,1,82.0,1.0
東山田,9934307,['グリーンライン'],神奈川県,横浜市都筑区,224-0024,東山田町３３９番地,35.554302,139.604369,1,2.951579921700488,0.10916020802582124,0.18347272352046964,13,0,0,1,6,2,2,2,2,1,0,0,0,31,46,2,31,2,40,2,24,1,35,1,35.2,1.6
東川口,1130513,"['JR武蔵野線', '埼玉高速鉄道線']",埼玉県,川口市,333-0811,戸塚１丁目,35.875246,139.744087,2,7.062645300564597,0.13378466501156644,0.15423652135263105,14,0,0,2,20,8,2,0,2,4,0,4,0,133,36,1,56,1,38,1,43,1,31,1,40.8,1.0
東府中,2400123,"['京王線', '京王競馬場線']",東京都,府中市,183-0015,清水が丘１-８-３,35.668766,139.495257,2,4.291631127196723,0.08721066100956384,0.09709492535169635,24,1,0,1,23,4,3,1,9,1,1,0,0,142,38,1,44,1,19,0,28,1,29,1,31.6,0.8
東戸塚,1130808,"['JR横須賀線', 'JR湘南新宿ライン']",神奈川県,横浜市戸塚区,244-0801,品濃町,35.430353,139.556794,2,3.3202195558752265,0.12591772388896186,0.17780409823632082,24,0,0,1,43,9,4,0,13,4,1,0,2,223,37,0,29,0,38,0,33,0,43,0,36.0,0.0
東新宿,2801012,"['東京メトロ副都心線', '都営大江戸線']",東京都,新宿区,160-0022,新宿７-２７-３,35.698915,139.707593,2,14.20733900947356,0.0362130841965051,0.047493393010072375,22,1,0,3,129,22,5,2,15,5,2,9,1,4254,20,1,32,1,7,1,6,0,4,0,13.8,0.6
東日本橋,1131403,['都営浅草線'],東京都,中央区,103-0004,東日本橋３-１１-８,35.692126,139.784821,1,12.52275415595362,0.05783396504854349,0.04760249874708519,16,0,0,4,111,15,6,3,18,4,0,13,0,2052,4,0,11,0,9,0,18,1,19,1,12.2,0.4
東村山,2200721,"['西武西武園線', '西武国分寺線', '西武新宿線']",東京都,東村山市,189-0014,本町２-３-３２,35.76006,139.465839,3,4.101203019552401,0.08421381408427943,0.11881818117648489,4,1,0,0,26,8,2,1,8,2,0,2,0,157,47,1,56,1,32,1,43,1,37,1,43.0,1.0
東松原,2400607,['京王井の頭線'],東京都,世田谷区,156-0043,松原５-２-６,35.662634,139.655535,1,4.683698162165991,0.04429703897447065,0.062061323067287615,12,0,0,0,58,18,4,3,2,2,1,1,0,418,38,1,25,1,16,1,7,0,22,1,21.6,0.8
東松山,2100129,['東武東上線'],埼玉県,東松山市,355-0028,箭弓町１-１２-１１,36.034608,139.401651,1,6.026006977481764,0.07021498643933427,0.12366116342990087,2,0,0,1,22,6,2,1,4,3,0,2,2,189,58,1,75,1,51,1,56,1,41,0,56.2,0.8
東松戸,1130521,"['JR武蔵野線', '北総鉄道北総線', '成田スカイアクセス']",千葉県,松戸市,270-2221,紙敷,35.770611,139.943848,3,5.652767436088359,0.1479280684214007,0.10664260174135522,6,0,0,0,7,1,0,2,2,2,0,2,0,33,31,1,30,0,33,1,39,1,53,1,37.2,0.8
東武動物公園,2100230,"['東武伊勢崎線', '東武日光線']",埼玉県,宮代町,345-0801,郡宮代町大字百間２丁目,36.024604,139.726901,2,5.637145824061712,0.08398694300025975,0.10368842476581032,2,0,0,1,15,6,2,1,5,3,1,0,0,119,54,1,61,1,69,1,60,0,75,1,63.8,0.8
東武練馬,2100108,['東武東上線'],東京都,板橋区,175-0083,徳丸２-２-１４,35.768698,139.661964,1,5.4171797919973805,0.0794441288081512,0.10270761585527313,38,0,0,5,30,11,3,2,3,2,1,2,0,246,28,1,45,1,21,1,26,1,11,0,26.2,0.8
東毛呂,2100706,['東武越生線'],埼玉県,毛呂山町,350-0441,呂山町大字岩井２３５６,35.947058,139.315303,1,4.909456740442655,0.05221242394597692,0.10065817294475425,7,0,0,0,5,1,2,1,7,3,0,1,0,80,73,2,90,2,66,2,66,1,51,1,69.2,1.6
東池袋,2800610,['東京メトロ有楽町線'],東京都,豊島区,170-0013,東池袋四丁目4-4,35.725732,139.719546,1,10.96621526477932,0.049664462396703614,0.056408228901965056,13,0,0,3,143,26,3,4,6,3,6,7,3,2283,18,1,42,1,18,1,14,1,2,0,18.8,0.8
東池袋四丁目,2800610,['都電荒川線'],東京都,豊島区,170-0013,東池袋５,35.72528,139.720012,1,10.96621526477932,0.05005109999214977,0.055567597629441925,13,0,0,3,137,28,3,4,4,3,4,6,2,1883,18,1,42,1,18,1,14,1,2,0,18.8,0.8
東浦和,1130512,['JR武蔵野線'],埼玉県,さいたま市緑区,336-0922,大牧,35.864079,139.704627,1,6.101852010779081,0.10142488097311865,0.14486728216393713,20,2,0,1,21,6,3,2,10,5,0,6,0,102,68,0,79,1,87,1,83,1,85,1,80.4,0.8
東海大学前,2500138,['小田急線'],神奈川県,秦野市,257-0006,北矢名,35.373151,139.271236,1,2.742295881179128,0.05784485421533115,0.07332784398145395,23,0,0,1,17,1,2,2,2,3,0,2,0,115,72,1,78,1,53,0,62,1,63,1,65.6,0.8
東海神,9933802,['東葉高速線'],千葉県,船橋市,273-0021,海神２-１５地下１号,35.705888,139.980343,1,5.626996740997608,0.09578014159457186,0.10909503843353723,12,0,0,3,54,4,1,2,7,9,3,6,1,754,28,1,35,1,42,1,38,1,43,1,37.2,1.0
東白楽,2600119,['東急東横線'],神奈川県,横浜市神奈川区,221-0065,白楽１２-１,35.483523,139.629364,1,3.230585104157077,0.05938100940016733,0.07362265372735778,21,0,0,2,58,14,6,2,14,8,2,5,0,428,60,1,28,1,40,1,29,0,43,0,40.0,0.6
東神奈川,1130601,"['JR横浜線', 'JR京浜東北線']",神奈川県,横浜市神奈川区,221-0044,東神奈川,35.47804,139.633466,2,3.230585104157077,0.07035034903336829,0.08597127562794475,27,0,0,2,45,10,5,1,15,5,2,6,0,313,30,1,23,1,35,1,27,1,38,1,30.6,1.0
東秋留,1131603,['JR五日市線'],東京都,あきる野市,197-0823,野辺,35.725904,139.311665,1,3.261111248363268,0.11183008546355272,0.1829605467550406,5,0,0,0,5,3,2,0,3,1,0,0,0,51,62,1,78,2,47,1,61,2,62,2,62.0,1.6
東船橋,1131332,['JR中央・総武線'],千葉県,船橋市,273-0002,東船橋２丁目,35.699811,140.00393,1,5.626996740997608,0.11658496956003088,0.12035571116087584,13,0,0,2,13,5,2,1,3,2,0,4,0,62,44,1,50,1,52,0,59,1,62,1,53.4,0.8
東葉勝田台,2300131,['東葉高速線'],千葉県,八千代市,276-0028,村上字下市場台北側４５０３-２４,35.715458,140.126075,1,5.275637839628893,0.07810135957453264,0.13862764481070522,27,0,0,0,27,7,1,1,6,5,0,3,0,210,45,1,52,1,59,1,55,1,57,1,53.6,1.0
東行田,9930605,['秩父鉄道秩父本線'],埼玉県,行田市,361-0022,桜町２丁目,36.147265,139.468394,1,5.468074482725026,0.06990131451175484,0.131165785773496,6,0,0,1,7,1,1,1,3,2,0,3,0,76,72,1,81,1,73,1,78,1,68,1,74.4,1.0
東逗子,1130814,['JR横須賀線'],神奈川県,逗子市,249-0004,沼間１丁目,35.298781,139.601768,1,2.7514148889856336,0.07743216560490851,0.11749246168412805,23,0,0,1,12,4,2,1,4,1,0,1,0,36,59,0,51,0,78,1,59,1,76,1,64.6,0.6
東銀座,2800313,"['東京メトロ日比谷線', '都営浅草線']",東京都,中央区,104-0061,銀座４-１２-１５,35.669464,139.767253,2,12.52275415595362,0.038154373488376435,0.045652980464947604,8,1,0,2,334,14,3,1,11,4,13,9,2,5593,8,1,8,0,18,1,16,1,30,1,16.0,0.8
東長崎,2200103,['西武池袋線'],東京都,豊島区,171-0051,長崎５-１-１,35.73003,139.683294,1,10.96621526477932,0.05224103883209449,0.06486962791234151,13,0,0,3,60,18,7,3,6,3,1,1,0,331,20,1,37,1,13,1,18,1,3,0,18.2,0.8
東門前,2700305,['京急大師線'],神奈川県,川崎市川崎区,210-0818,中瀬３-２３-１０,35.536566,139.734298,1,8.926572894376347,0.0889266341488417,0.10083432884228602,14,0,0,1,20,7,3,2,6,6,0,5,1,164,38,2,19,1,50,2,46,2,64,2,43.4,1.8
東陽町,2800414,['東京メトロ東西線'],東京都,江東区,135-0016,東陽４-２-１,35.669629,139.817596,1,5.627282381968605,0.07939131652552836,0.09469982618608477,14,0,0,1,53,15,4,4,7,2,1,2,0,382,12,1,19,1,25,1,22,1,26,1,20.8,1.0
東雲(東京都),9933702,['りんかい線'],東京都,江東区,135-0062,東雲２-８-１０,35.640987,139.804395,1,5.627282381968605,0.1294614520227804,0.12213030037446215,4,0,0,0,14,4,4,3,5,1,1,2,0,98,16,1,20,1,23,0,18,0,29,0,21.2,0.4
東青梅,1131512,['JR青梅線'],東京都,青梅市,198-0042,東青梅１丁目,35.789768,139.272841,1,4.3237420021691495,0.07026358091201042,0.10843102509626623,13,0,0,0,12,4,1,2,6,0,0,2,0,105,67,0,78,1,52,0,61,1,62,1,64.0,0.6
東飯能,1131708,"['西武池袋線', '西武秩父線', 'JR八高線(八王子～高麗川)']",埼玉県,飯能市,357-0034,東町１丁目,35.852928,139.325965,3,5.153936690825745,0.07808097620398108,0.11167775036453875,7,0,0,3,22,7,1,2,9,4,1,4,1,228,68,2,88,2,63,2,58,1,46,1,64.6,1.6
東高円寺,2800222,['東京メトロ丸ノ内線'],東京都,杉並区,166-0012,和田３-５５-４２,35.697802,139.657822,1,4.562081003976972,0.04691933124498938,0.05026775909823571,35,0,0,2,67,19,7,5,5,4,0,6,0,562,19,0,30,1,4,0,13,1,31,0,19.4,0.4
東鷲宮,1131913,['宇都宮線'],埼玉県,久喜市,340-0206,西大輪326,36.089428,139.67913,1,5.9943142648922265,0.13836054985730284,0.15715453009590344,11,0,0,1,5,1,2,0,4,2,1,0,0,34,47,0,53,0,48,0,53,0,43,0,48.8,0.0
松が谷,9933402,['多摩モノレール'],東京都,八王子市,192-0354,松が谷４０,35.63169,139.422201,1,4.857033521323329,0.052398223544816255,0.10003578531290663,26,1,0,0,21,7,3,2,3,2,1,2,0,169,58,2,64,2,34,1,48,2,49,2,50.6,1.8
松原(東京都),2600709,['東急世田谷線'],東京都,世田谷区,156-0043,松原４-１０-８,35.660048,139.642,1,4.683698162165991,0.056117483118819825,0.07696255369764783,12,0,0,0,57,14,3,4,3,3,0,2,0,311,45,2,41,2,15,1,22,1,30,2,30.6,1.6
松戸,1132009,"['JR常磐線(上野～取手)', '新京成線']",千葉県,松戸市,271-0092,松戸,35.784472,139.900779,2,5.652767436088359,0.07333952702051143,0.1015684595021787,13,0,0,1,44,10,3,1,2,5,3,9,0,417,21,0,28,0,51,1,38,1,33,1,34.2,0.6
松田,1150505,['JR御殿場線'],神奈川県,松田町,258-0003,郡松田町松田惣領,35.346843,139.137417,1,4.475875033569063,0.08713031206375894,0.161514268642343,4,0,0,1,9,3,1,1,1,0,0,1,0,60,78,1,69,1,81,1,76,1,86,1,78.0,1.0
松陰神社前,2600704,['東急世田谷線'],東京都,世田谷区,154-0023,若林４-２１-１６,35.643947,139.655211,1,4.683698162165991,0.061700390946229755,0.07961247943445356,23,0,0,1,51,15,6,4,5,2,0,0,0,321,37,2,45,2,23,1,14,1,38,2,31.4,1.6
松飛台,9934007,['北総鉄道北総線'],千葉県,松戸市,270-2221,紙敷１-２９-５,35.775377,139.957739,1,5.652767436088359,0.08577870070056481,0.12893166585718308,4,0,0,0,4,0,1,0,0,0,0,2,0,18,39,1,40,0,38,1,47,1,66,1,46.0,0.8
板橋,1132106,['JR埼京線'],東京都,板橋区,173-0004,板橋１丁目,35.745435,139.719507,1,5.4171797919973805,0.05411513351108395,0.06586040441121811,19,0,0,3,62,21,9,5,11,4,0,3,0,468,40,1,27,1,8,0,13,0,2,0,18.0,0.4
柏,1132015,"['JR常磐線(上野～取手)', '東武野田線']",千葉県,柏市,277-0005,柏１,35.862316,139.971148,2,5.403982084965962,0.060979438978671176,0.07938896807759571,12,0,0,3,80,13,2,1,8,6,2,3,1,949,29,0,36,0,67,1,46,1,41,1,43.8,0.6
