,code,都道府県,市区町村,総人口,刑法犯総数,犯罪率(件/1000人)
301,22304,静岡県,南伊豆町,8524,36,4.2233693101830125
302,22305,静岡県,松崎町,6837,18,2.6327336551118914
303,22306,静岡県,西伊豆町,8234,20,2.428953121204761
304,22325,静岡県,函南町,37661,168,4.460848092190861
305,22341,静岡県,清水町,32118,137,4.265520891711813
306,22342,静岡県,長泉町,42331,168,3.96872268550235
307,22344,静岡県,小山町,19497,49,2.513207160075909
308,22424,静岡県,吉田町,29093,89,3.0591551232255183
309,22429,静岡県,川根本町,7192,6,0.8342602892102337
310,22461,静岡県,森町,18528,35,1.8890328151986184
311,12100,千葉県,千葉市,971882,6075,6.250758836978152
312,12101,千葉県,中央区,205070,1965,9.582093919149559
313,12102,千葉県,花見川区,179200,826,4.609375
314,12103,千葉県,稲毛区,160968,1136,7.057303314944585
315,12104,千葉県,若葉区,151078,882,5.838043924330479
316,12105,千葉県,緑区,126848,461,3.634270938446014
317,12106,千葉県,美浜区,148718,805,5.4129291679554585
318,12202,千葉県,銚子市,64415,296,4.5952029806722035
319,12203,千葉県,市川市,481732,2558,5.3100063935964394
320,12204,千葉県,船橋市,622890,3505,5.626996740997608
321,12205,千葉県,館山市,47464,254,5.351424237316703
322,12206,千葉県,木更津市,134141,742,5.531492981265981
323,12207,千葉県,松戸市,483480,2733,5.652767436088359
324,12208,千葉県,野田市,153583,941,6.12698019963147
325,12210,千葉県,茂原市,89688,502,5.597181339755598
326,12211,千葉県,成田市,131190,784,5.976065248875676
327,12212,千葉県,佐倉市,172739,812,4.700733476516595
328,12213,千葉県,東金市,60652,339,5.589263338389501
329,12215,千葉県,旭市,66586,391,5.8721052473492925
330,12216,千葉県,習志野市,167909,1036,6.170008754742152
331,12217,千葉県,柏市,413954,2237,5.403982084965962
332,12218,千葉県,勝浦市,19248,85,4.416043225270158
333,12219,千葉県,市原市,274656,1627,5.923773738785972
334,12220,千葉県,流山市,174373,985,5.648810308935443
335,12221,千葉県,八千代市,193152,1019,5.275637839628893
336,12222,千葉県,我孫子市,131606,590,4.483078279105816
337,12223,千葉県,鴨川市,33932,135,3.9785453259460097
338,12224,千葉県,鎌ヶ谷市,108917,592,5.4353314909518256
339,12225,千葉県,君津市,86033,453,5.2654214080643476
340,12226,千葉県,富津市,45601,211,4.627091511151071
341,12227,千葉県,浦安市,164024,983,5.993025410915476
342,12228,千葉県,四街道市,89245,455,5.098324836125273
343,12229,千葉県,袖ヶ浦市,60952,243,3.9867436671479193
344,12230,千葉県,八街市,70734,369,5.216727457799644
345,12231,千葉県,印西市,92670,567,6.118484946584655
346,12232,千葉県,白井市,61674,313,5.075072153581736
347,12233,千葉県,富里市,49636,291,5.862680312676283
348,12234,千葉県,南房総市,39033,138,3.5354699869341326
349,12235,千葉県,匝瑳市,37261,201,5.394380183033198
350,12236,千葉県,香取市,77499,333,4.296829636511438
351,12237,千葉県,山武市,52222,281,5.3808739611657925
352,12238,千葉県,いすみ市,38594,241,6.244493962792144
353,12239,千葉県,大網白里市,49184,163,3.3140858815875083
354,12322,千葉県,酒々井町,20955,130,6.203769983297542
355,12329,千葉県,栄町,21228,70,3.2975315620878085
356,12342,千葉県,神崎町,6133,24,3.9132561552258274
357,12347,千葉県,多古町,14724,50,3.395816354251562
